layer,pretrain_1pct,pretrain_10pct,pretrain_50pct,base,sft,dpo,instruct
10,0.9549,0.9771,0.9843,0.9869,0.9814,0.9817,0.9823
11,0.9582,0.9756,0.9846,0.9871,0.9756,0.9755,0.9757
12,0.9566,0.9815,0.9779,0.9816,0.9552,0.9531,0.9530
13,0.9560,0.9743,0.9710,0.9759,0.9252,0.9205,0.9192
14,0.9539,0.9699,0.9675,0.9725,0.8896,0.8778,0.8727
15,0.9510,0.9659,0.9628,0.9689,0.8628,0.8489,0.8411
16,0.9482,0.9622,0.9563,0.9653,0.8529,0.8348,0.8238
17,0.9450,0.9588,0.9500,0.9588,0.8313,0.8011,0.7847
18,0.9404,0.9531,0.9408,0.9487,0.7758,0.7374,0.7159
19,0.9360,0.9501,0.9354,0.9421,0.6949,0.6583,0.6335
20,0.9311,0.9465,0.9297,0.9391,0.6691,0.6237,0.5967
21,0.9261,0.9420,0.9240,0.9342,0.6490,0.5927,0.5648
